Model Name,Dataset Size,Translation X, Translation Y,Rotation,Scale,Shear X, Shear Y,Top-1 Accuracy,Top-5 Accuracy,Type,Time
vit_base,5000,0,0,0.0,1.0,0,0,0.7572,0.9334,TTA,52.33
vit_base,5000,0,0,30,1.0,0,0,0.7396,0.9246,TTA,54.30
vit_base,5000,0,0,60,1.0,0,0,0.7398,0.9272,TTA,53.04
vit_base,5000,0,0,90,1.0,0,0,0.7572,0.9334,TTA,53.83
vit_base,5000,0,0,120,1.0,0,0,0.7396,0.9246,TTA,53.48
vit_base,5000,0,0,150,1.0,0,0,0.7398,0.9272,TTA,54.78
vit_base,5000,0,0,180,1.0,0,0,0.7572,0.9334,TTA,53.02
vit_base,5000,0,0,210,1.0,0,0,0.7396,0.9246,TTA,54.90
vit_base,5000,0,0,240,1.0,0,0,0.7398,0.9272,TTA,54.06
vit_base,5000,0,0,270,1.0,0,0,0.7572,0.9334,TTA,53.36
vit_base,5000,0,0,300,1.0,0,0,0.7396,0.9246,TTA,54.30
vit_base,5000,0,0,330,1.0,0,0,0.7398,0.9272,TTA,54.53
vit_base,5000,0,0,0.0,0.5,0,0,0.5866,0.8272,TTA,52.96
vit_base,5000,0,0,0.0,1.5,0,0,0.6694,0.8794,TTA,53.26
vit_base,5000,0,0,0.0,2.0,0,0,0.6172,0.8336,TTA,52.64
vit_base,5000,0,0,0.0,1.0,0,0,0.7572,0.9334,feature_averaging,52.01
vit_base,5000,0,0,30,1.0,0,0,0.7396,0.9246,feature_averaging,53.99
vit_base,5000,0,0,60,1.0,0,0,0.7398,0.9272,feature_averaging,53.68
vit_base,5000,0,0,90,1.0,0,0,0.7572,0.9334,feature_averaging,53.58
vit_base,5000,0,0,120,1.0,0,0,0.7396,0.9246,feature_averaging,53.39
vit_base,5000,0,0,150,1.0,0,0,0.7398,0.9272,feature_averaging,54.31
vit_base,5000,0,0,180,1.0,0,0,0.7572,0.9334,feature_averaging,52.60
vit_base,5000,0,0,210,1.0,0,0,0.7396,0.9246,feature_averaging,54.30
vit_base,5000,0,0,240,1.0,0,0,0.7398,0.9272,feature_averaging,53.61
vit_base,5000,0,0,270,1.0,0,0,0.7572,0.9334,feature_averaging,53.46
vit_base,5000,0,0,300,1.0,0,0,0.7396,0.9246,feature_averaging,53.31
vit_base,5000,0,0,330,1.0,0,0,0.7398,0.9272,feature_averaging,54.77
vit_base,5000,0,0,0.0,1.0,0,0,0.6520,0.8544,canonicalizer,21.49
vit_base,5000,0,0,30,1.0,0,0,0.6364,0.8386,canonicalizer,22.68
vit_base,5000,0,0,60,1.0,0,0,0.6476,0.8494,canonicalizer,21.41
vit_base,5000,0,0,90,1.0,0,0,0.6782,0.8758,canonicalizer,21.74
vit_base,5000,0,0,120,1.0,0,0,0.6694,0.8724,canonicalizer,21.88
vit_base,5000,0,0,150,1.0,0,0,0.6780,0.8756,canonicalizer,22.72
vit_base,5000,0,0,180,1.0,0,0,0.6846,0.8784,canonicalizer,20.80
vit_base,5000,0,0,210,1.0,0,0,0.6402,0.8494,canonicalizer,22.98
vit_base,5000,0,0,240,1.0,0,0,0.6186,0.8252,canonicalizer,21.83
vit_base,5000,0,0,270,1.0,0,0,0.6276,0.8456,canonicalizer,21.85
