Model Name,Dataset Size,Translation X,Translation Y,Rotation,Scale,Shear X,Shear Y,Top-1 Accuracy,Top-5 Accuracy,Time
vit_base,5000,0,0,0.0,1.0,0,0,0.8162,0.9530,33.03
vit_base,5000,25,0,0.0,1.0,0,0,0.8110,0.9566,18.18
vit_base,5000,0,25,0.0,1.0,0,0,0.8038,0.9506,18.37
vit_base,5000,-25,0,0.0,1.0,0,0,0.8108,0.9530,18.36
vit_base,5000,0,-25,0.0,1.0,0,0,0.8080,0.9526,18.25
vit_base,5000,50,0,0.0,1.0,0,0,0.8036,0.9444,18.28
vit_base,5000,0,50,0.0,1.0,0,0,0.7962,0.9418,18.71
vit_base,5000,-50,0,0.0,1.0,0,0,0.7952,0.9472,18.79
vit_base,5000,0,-50,0.0,1.0,0,0,0.7928,0.9448,18.88
vit_base,5000,0,0,30,1.0,0,0,0.7822,0.9382,20.79
vit_base,5000,0,0,60,1.0,0,0,0.7086,0.8848,19.21
vit_base,5000,0,0,90,1.0,0,0,0.6392,0.8364,18.93
vit_base,5000,0,0,120,1.0,0,0,0.5946,0.8060,19.47
vit_base,5000,0,0,150,1.0,0,0,0.6062,0.8088,20.40
vit_base,5000,0,0,180,1.0,0,0,0.6340,0.8404,18.54
vit_base,5000,0,0,210,1.0,0,0,0.6024,0.8162,19.98
vit_base,5000,0,0,240,1.0,0,0,0.5968,0.8044,19.08
vit_base,5000,0,0,270,1.0,0,0,0.6384,0.8376,18.96
vit_base,5000,0,0,300,1.0,0,0,0.7052,0.8818,19.76
vit_base,5000,0,0,330,1.0,0,0,0.7822,0.9416,20.60
vit_base,5000,0,0,0.0,0.5,0,0,0.6998,0.8900,18.31
vit_base,5000,0,0,0.0,1.5,0,0,0.7552,0.9222,18.47
vit_base,5000,0,0,0.0,2.0,0,0,0.6946,0.8726,18.11
vit_base,5000,0,0,0.0,1.0,25,0,0.7946,0.9464,18.26
vit_base,5000,0,0,0.0,1.0,0,25,0.7926,0.9432,20.49
vit_base,5000,0,0,0.0,1.0,-25,0,0.7980,0.9458,18.83
vit_base,5000,0,0,0.0,1.0,0,-25,0.7934,0.9430,21.10
vit_base,5000,0,0,0.0,1.0,50,0,0.5710,0.7764,18.61
vit_base,5000,0,0,0.0,1.0,0,50,0.5846,0.7896,20.06
vit_base,5000,0,0,0.0,1.0,-50,0,0.5776,0.7764,18.24
vit_base,5000,0,0,0.0,1.0,0,-50,0.5862,0.7952,19.89
vit_large,5000,0,0,0.0,1.0,0,0,0.8468,0.9698,46.03
vit_large,5000,25,0,0.0,1.0,0,0,0.8394,0.9670,46.37
vit_large,5000,0,25,0.0,1.0,0,0,0.8354,0.9666,45.92
vit_large,5000,-25,0,0.0,1.0,0,0,0.8406,0.9670,45.81
vit_large,5000,0,-25,0.0,1.0,0,0,0.8398,0.9670,45.84
vit_large,5000,50,0,0.0,1.0,0,0,0.8304,0.9622,46.09
vit_large,5000,0,50,0.0,1.0,0,0,0.8226,0.9584,46.39
vit_large,5000,-50,0,0.0,1.0,0,0,0.8286,0.9624,45.84
vit_large,5000,0,-50,0.0,1.0,0,0,0.8250,0.9610,45.94
vit_large,5000,0,0,30,1.0,0,0,0.8280,0.9638,47.34
vit_large,5000,0,0,60,1.0,0,0,0.8168,0.9574,46.47
vit_large,5000,0,0,90,1.0,0,0,0.7448,0.9130,46.47
vit_large,5000,0,0,120,1.0,0,0,0.7044,0.8796,46.78
vit_large,5000,0,0,150,1.0,0,0,0.6796,0.8644,47.81
vit_large,5000,0,0,180,1.0,0,0,0.6850,0.8752,46.20
vit_large,5000,0,0,210,1.0,0,0,0.6800,0.8652,47.57
vit_large,5000,0,0,240,1.0,0,0,0.7090,0.8852,46.63
vit_large,5000,0,0,270,1.0,0,0,0.7462,0.9100,46.78
vit_large,5000,0,0,300,1.0,0,0,0.8180,0.9564,47.22
vit_large,5000,0,0,330,1.0,0,0,0.8296,0.9646,48.00
vit_large,5000,0,0,0.0,0.5,0,0,0.7354,0.9090,46.31
vit_large,5000,0,0,0.0,1.5,0,0,0.8100,0.9448,45.74
vit_large,5000,0,0,0.0,2.0,0,0,0.7598,0.9178,45.72
vit_large,5000,0,0,0.0,1.0,25,0,0.8334,0.9640,46.51
vit_large,5000,0,0,0.0,1.0,0,25,0.8326,0.9648,48.41
vit_large,5000,0,0,0.0,1.0,-25,0,0.8342,0.9654,46.41
vit_large,5000,0,0,0.0,1.0,0,-25,0.8306,0.9666,47.67
vit_large,5000,0,0,0.0,1.0,50,0,0.7124,0.8870,46.55
vit_large,5000,0,0,0.0,1.0,0,50,0.6850,0.8728,48.34
vit_large,5000,0,0,0.0,1.0,-50,0,0.6928,0.8730,46.36
vit_large,5000,0,0,0.0,1.0,0,-50,0.6876,0.8680,47.26
dinov2_base,5000,0,0,0.0,1.0,0,0,0.8480,0.9674,22.78
dinov2_base,5000,25,0,0.0,1.0,0,0,0.8424,0.9666,22.20
dinov2_base,5000,0,25,0.0,1.0,0,0,0.8396,0.9658,22.90
dinov2_base,5000,-25,0,0.0,1.0,0,0,0.8388,0.9642,22.85
dinov2_base,5000,0,-25,0.0,1.0,0,0,0.8444,0.9668,23.09
dinov2_base,5000,50,0,0.0,1.0,0,0,0.8376,0.9626,22.90
dinov2_base,5000,0,50,0.0,1.0,0,0,0.8310,0.9626,23.16
dinov2_base,5000,-50,0,0.0,1.0,0,0,0.8356,0.9638,23.04
dinov2_base,5000,0,-50,0.0,1.0,0,0,0.8314,0.9628,22.77
dinov2_base,5000,0,0,30,1.0,0,0,0.7910,0.9436,24.46
dinov2_base,5000,0,0,60,1.0,0,0,0.6980,0.8846,23.40
dinov2_base,5000,0,0,90,1.0,0,0,0.7516,0.9208,23.35
dinov2_base,5000,0,0,120,1.0,0,0,0.6294,0.8316,23.52
dinov2_base,5000,0,0,150,1.0,0,0,0.6178,0.8218,24.64
dinov2_base,5000,0,0,180,1.0,0,0,0.7216,0.9088,22.97
dinov2_base,5000,0,0,210,1.0,0,0,0.6224,0.8222,24.59
dinov2_base,5000,0,0,240,1.0,0,0,0.6304,0.8324,23.66
dinov2_base,5000,0,0,270,1.0,0,0,0.7506,0.9200,23.75
dinov2_base,5000,0,0,300,1.0,0,0,0.6996,0.8874,23.73
dinov2_base,5000,0,0,330,1.0,0,0,0.7896,0.9438,24.72
dinov2_base,5000,0,0,0.0,0.5,0,0,0.7466,0.9254,23.10
dinov2_base,5000,0,0,0.0,1.5,0,0,0.8072,0.9486,22.81
dinov2_base,5000,0,0,0.0,2.0,0,0,0.7594,0.9198,22.67
dinov2_base,5000,0,0,0.0,1.0,25,0,0.8054,0.9530,22.99
dinov2_base,5000,0,0,0.0,1.0,0,25,0.7956,0.9472,25.17
dinov2_base,5000,0,0,0.0,1.0,-25,0,0.8014,0.9498,23.03
dinov2_base,5000,0,0,0.0,1.0,0,-25,0.7976,0.9472,24.84
dinov2_base,5000,0,0,0.0,1.0,50,0,0.5980,0.8112,22.80
dinov2_base,5000,0,0,0.0,1.0,0,50,0.6028,0.8160,24.50
dinov2_base,5000,0,0,0.0,1.0,-50,0,0.5896,0.8098,22.91
dinov2_base,5000,0,0,0.0,1.0,0,-50,0.5886,0.8128,23.90
dinov2_large,5000,0,0,0.0,1.0,0,0,0.8648,0.9750,59.88
dinov2_large,5000,25,0,0.0,1.0,0,0,0.8610,0.9744,59.71
dinov2_large,5000,0,25,0.0,1.0,0,0,0.8614,0.9762,59.99
dinov2_large,5000,-25,0,0.0,1.0,0,0,0.8618,0.9736,59.49
dinov2_large,5000,0,-25,0.0,1.0,0,0,0.8636,0.9744,60.10
dinov2_large,5000,50,0,0.0,1.0,0,0,0.8562,0.9718,59.44
dinov2_large,5000,0,50,0.0,1.0,0,0,0.8552,0.9696,59.60
dinov2_large,5000,-50,0,0.0,1.0,0,0,0.8556,0.9726,60.15
dinov2_large,5000,0,-50,0.0,1.0,0,0,0.8562,0.9736,60.02
dinov2_large,5000,0,0,30,1.0,0,0,0.8372,0.9664,61.16
dinov2_large,5000,0,0,60,1.0,0,0,0.8034,0.9466,59.95
dinov2_large,5000,0,0,90,1.0,0,0,0.8226,0.9574,60.13
dinov2_large,5000,0,0,120,1.0,0,0,0.7538,0.9168,60.13
dinov2_large,5000,0,0,150,1.0,0,0,0.7410,0.9162,61.57
dinov2_large,5000,0,0,180,1.0,0,0,0.8014,0.9474,59.95
dinov2_large,5000,0,0,210,1.0,0,0,0.7378,0.9148,61.59
dinov2_large,5000,0,0,240,1.0,0,0,0.7478,0.9202,60.68
dinov2_large,5000,0,0,270,1.0,0,0,0.8254,0.9590,60.17
dinov2_large,5000,0,0,300,1.0,0,0,0.8008,0.9456,60.46
dinov2_large,5000,0,0,330,1.0,0,0,0.8364,0.9640,61.88
dinov2_large,5000,0,0,0.0,0.5,0,0,0.8206,0.9576,59.57
dinov2_large,5000,0,0,0.0,1.5,0,0,0.8334,0.9638,60.15
dinov2_large,5000,0,0,0.0,2.0,0,0,0.7962,0.9420,60.15
dinov2_large,5000,0,0,0.0,1.0,25,0,0.8346,0.9654,59.84
dinov2_large,5000,0,0,0.0,1.0,0,25,0.8344,0.9662,62.20
dinov2_large,5000,0,0,0.0,1.0,-25,0,0.8350,0.9660,59.58
dinov2_large,5000,0,0,0.0,1.0,0,-25,0.8370,0.9646,61.63
dinov2_large,5000,0,0,0.0,1.0,50,0,0.7190,0.9020,59.95
dinov2_large,5000,0,0,0.0,1.0,0,50,0.7310,0.9072,61.31
dinov2_large,5000,0,0,0.0,1.0,-50,0,0.7142,0.9030,59.91
dinov2_large,5000,0,0,0.0,1.0,0,-50,0.7270,0.9060,61.30
clip_base,5000,0,0,0.0,1.0,0,0,0.6420,0.8998,61.43
clip_base,5000,25,0,0.0,1.0,0,0,0.6346,0.8922,19.24
clip_base,5000,0,25,0.0,1.0,0,0,0.6402,0.8908,19.39
clip_base,5000,-25,0,0.0,1.0,0,0,0.6408,0.8892,19.27
clip_base,5000,0,-25,0.0,1.0,0,0,0.6408,0.8900,19.62
clip_base,5000,50,0,0.0,1.0,0,0,0.6230,0.8828,19.33
clip_base,5000,0,50,0.0,1.0,0,0,0.6210,0.8764,19.33
clip_base,5000,-50,0,0.0,1.0,0,0,0.6250,0.8804,19.47
clip_base,5000,0,-50,0.0,1.0,0,0,0.6142,0.8736,19.68
clip_base,5000,0,0,30,1.0,0,0,0.5450,0.8230,21.01
clip_base,5000,0,0,60,1.0,0,0,0.4588,0.7348,19.55
clip_base,5000,0,0,90,1.0,0,0,0.5538,0.8284,20.00
clip_base,5000,0,0,120,1.0,0,0,0.3852,0.6650,20.20
clip_base,5000,0,0,150,1.0,0,0,0.3804,0.6558,21.57
clip_base,5000,0,0,180,1.0,0,0,0.4896,0.7830,19.44
clip_base,5000,0,0,210,1.0,0,0,0.3682,0.6488,21.34
clip_base,5000,0,0,240,1.0,0,0,0.3958,0.6746,20.27
clip_base,5000,0,0,270,1.0,0,0,0.5484,0.8340,19.87
clip_base,5000,0,0,300,1.0,0,0,0.4484,0.7352,20.57
clip_base,5000,0,0,330,1.0,0,0,0.5460,0.8192,21.38
clip_base,5000,0,0,0.0,0.5,0,0,0.5514,0.8282,19.95
clip_base,5000,0,0,0.0,1.5,0,0,0.5300,0.8072,19.91
clip_base,5000,0,0,0.0,2.0,0,0,0.4014,0.6742,19.35
clip_base,5000,0,0,0.0,1.0,25,0,0.5640,0.8332,19.83
clip_base,5000,0,0,0.0,1.0,0,25,0.5506,0.8332,21.89
clip_base,5000,0,0,0.0,1.0,-25,0,0.5632,0.8304,19.66
clip_base,5000,0,0,0.0,1.0,0,-25,0.5502,0.8250,21.72
clip_base,5000,0,0,0.0,1.0,50,0,0.3190,0.5754,19.52
clip_base,5000,0,0,0.0,1.0,0,50,0.3290,0.5880,21.29
clip_base,5000,0,0,0.0,1.0,-50,0,0.3164,0.5678,19.12
clip_base,5000,0,0,0.0,1.0,0,-50,0.3226,0.5758,20.76
clip_large,5000,0,0,0.0,1.0,0,0,0.7100,0.9212,61.62
clip_large,5000,25,0,0.0,1.0,0,0,0.7000,0.9158,61.18
clip_large,5000,0,25,0.0,1.0,0,0,0.6968,0.9154,61.69
clip_large,5000,-25,0,0.0,1.0,0,0,0.7042,0.9166,61.18
clip_large,5000,0,-25,0.0,1.0,0,0,0.6986,0.9160,61.67
clip_large,5000,50,0,0.0,1.0,0,0,0.6890,0.9118,61.42
clip_large,5000,0,50,0.0,1.0,0,0,0.6830,0.9052,61.14
clip_large,5000,-50,0,0.0,1.0,0,0,0.6946,0.9108,61.09
clip_large,5000,0,-50,0.0,1.0,0,0,0.6808,0.9024,61.86
clip_large,5000,0,0,30,1.0,0,0,0.6534,0.8752,62.49
clip_large,5000,0,0,60,1.0,0,0,0.6052,0.8382,61.73
clip_large,5000,0,0,90,1.0,0,0,0.6620,0.8888,61.60
clip_large,5000,0,0,120,1.0,0,0,0.5428,0.7928,61.62
clip_large,5000,0,0,150,1.0,0,0,0.5190,0.7750,62.98
clip_large,5000,0,0,180,1.0,0,0,0.6192,0.8532,61.54
clip_large,5000,0,0,210,1.0,0,0,0.5320,0.7806,63.11
clip_large,5000,0,0,240,1.0,0,0,0.5414,0.7920,62.32
clip_large,5000,0,0,270,1.0,0,0,0.6610,0.8904,61.66
clip_large,5000,0,0,300,1.0,0,0,0.6020,0.8406,62.39
clip_large,5000,0,0,330,1.0,0,0,0.6486,0.8728,63.62
clip_large,5000,0,0,0.0,0.5,0,0,0.6502,0.8796,61.78
clip_large,5000,0,0,0.0,1.5,0,0,0.6354,0.8654,61.62
clip_large,5000,0,0,0.0,2.0,0,0,0.5474,0.7860,60.93
clip_large,5000,0,0,0.0,1.0,25,0,0.6614,0.8808,61.69
clip_large,5000,0,0,0.0,1.0,0,25,0.6586,0.8832,63.60
clip_large,5000,0,0,0.0,1.0,-25,0,0.6506,0.8822,61.41
clip_large,5000,0,0,0.0,1.0,0,-25,0.6508,0.8818,63.93
clip_large,5000,0,0,0.0,1.0,50,0,0.4664,0.7238,61.07
clip_large,5000,0,0,0.0,1.0,0,50,0.4708,0.7248,63.17
clip_large,5000,0,0,0.0,1.0,-50,0,0.4614,0.7104,61.47
clip_large,5000,0,0,0.0,1.0,0,-50,0.4560,0.7144,61.97
siglip_base,5000,0,0,0.0,1.0,0,0,0.4796,0.7002,20.01
siglip_base,5000,25,0,0.0,1.0,0,0,0.4638,0.6876,19.27
siglip_base,5000,0,25,0.0,1.0,0,0,0.4640,0.6888,19.22
siglip_base,5000,-25,0,0.0,1.0,0,0,0.4644,0.6896,19.12
siglip_base,5000,0,-25,0.0,1.0,0,0,0.4710,0.6868,19.01
siglip_base,5000,50,0,0.0,1.0,0,0,0.4482,0.6740,19.25
siglip_base,5000,0,50,0.0,1.0,0,0,0.4478,0.6710,19.71
siglip_base,5000,-50,0,0.0,1.0,0,0,0.4528,0.6712,19.32
siglip_base,5000,0,-50,0.0,1.0,0,0,0.4486,0.6708,19.28
siglip_base,5000,0,0,30,1.0,0,0,0.3982,0.6224,21.35
siglip_base,5000,0,0,60,1.0,0,0,0.3264,0.5442,20.19
siglip_base,5000,0,0,90,1.0,0,0,0.3898,0.6062,19.91
siglip_base,5000,0,0,120,1.0,0,0,0.2760,0.4728,20.06
siglip_base,5000,0,0,150,1.0,0,0,0.2698,0.4706,21.69
siglip_base,5000,0,0,180,1.0,0,0,0.3490,0.5714,19.40
siglip_base,5000,0,0,210,1.0,0,0,0.2686,0.4732,21.18
siglip_base,5000,0,0,240,1.0,0,0,0.2762,0.4722,20.23
siglip_base,5000,0,0,270,1.0,0,0,0.3898,0.6106,19.93
siglip_base,5000,0,0,300,1.0,0,0,0.3328,0.5476,20.30
siglip_base,5000,0,0,330,1.0,0,0,0.3958,0.6200,21.97
siglip_base,5000,0,0,0.0,0.5,0,0,0.4188,0.6350,19.63
siglip_base,5000,0,0,0.0,1.5,0,0,0.3798,0.6018,19.17
siglip_base,5000,0,0,0.0,2.0,0,0,0.2930,0.4880,19.46
siglip_base,5000,0,0,0.0,1.0,25,0,0.4086,0.6288,19.44
siglip_base,5000,0,0,0.0,1.0,0,25,0.4006,0.6178,22.14
siglip_base,5000,0,0,0.0,1.0,-25,0,0.4032,0.6302,19.39
siglip_base,5000,0,0,0.0,1.0,0,-25,0.4034,0.6212,21.89
siglip_base,5000,0,0,0.0,1.0,50,0,0.2178,0.4090,19.62
siglip_base,5000,0,0,0.0,1.0,0,50,0.2452,0.4498,20.96
siglip_base,5000,0,0,0.0,1.0,-50,0,0.2232,0.4110,19.40
siglip_base,5000,0,0,0.0,1.0,0,-50,0.2450,0.4412,20.89
siglip_large,5000,0,0,0.0,1.0,0,0,0.2510,0.4192,63.05
siglip_large,5000,25,0,0.0,1.0,0,0,0.2516,0.4174,61.89
siglip_large,5000,0,25,0.0,1.0,0,0,0.2456,0.4188,61.97
siglip_large,5000,-25,0,0.0,1.0,0,0,0.2508,0.4150,62.02
siglip_large,5000,0,-25,0.0,1.0,0,0,0.2440,0.4148,61.94
siglip_large,5000,50,0,0.0,1.0,0,0,0.2394,0.4070,61.56
siglip_large,5000,0,50,0.0,1.0,0,0,0.2438,0.4094,61.67
siglip_large,5000,-50,0,0.0,1.0,0,0,0.2456,0.4116,61.69
siglip_large,5000,0,-50,0.0,1.0,0,0,0.2414,0.4054,61.89
siglip_large,5000,0,0,30,1.0,0,0,0.2284,0.3880,63.30
siglip_large,5000,0,0,60,1.0,0,0,0.1992,0.3458,62.35
siglip_large,5000,0,0,90,1.0,0,0,0.2290,0.3780,63.03
siglip_large,5000,0,0,120,1.0,0,0,0.1674,0.3042,61.93
siglip_large,5000,0,0,150,1.0,0,0,0.1616,0.2912,64.37
siglip_large,5000,0,0,180,1.0,0,0,0.2056,0.3466,61.82
siglip_large,5000,0,0,210,1.0,0,0,0.1606,0.2924,63.80
siglip_large,5000,0,0,240,1.0,0,0,0.1620,0.3032,63.01
siglip_large,5000,0,0,270,1.0,0,0,0.2272,0.3802,62.54
siglip_large,5000,0,0,300,1.0,0,0,0.1984,0.3434,62.29
siglip_large,5000,0,0,330,1.0,0,0,0.2240,0.3830,63.89
siglip_large,5000,0,0,0.0,0.5,0,0,0.2118,0.3808,61.20
siglip_large,5000,0,0,0.0,1.5,0,0,0.2206,0.3834,60.99
siglip_large,5000,0,0,0.0,2.0,0,0,0.1892,0.3306,61.16
siglip_large,5000,0,0,0.0,1.0,25,0,0.2246,0.3862,61.88
siglip_large,5000,0,0,0.0,1.0,0,25,0.2208,0.3756,65.03
siglip_large,5000,0,0,0.0,1.0,-25,0,0.2248,0.3852,61.22
siglip_large,5000,0,0,0.0,1.0,0,-25,0.2238,0.3798,64.79
siglip_large,5000,0,0,0.0,1.0,50,0,0.1464,0.2694,61.95
siglip_large,5000,0,0,0.0,1.0,0,50,0.1546,0.2808,63.67
siglip_large,5000,0,0,0.0,1.0,-50,0,0.1478,0.2654,61.43
siglip_large,5000,0,0,0.0,1.0,0,-50,0.1502,0.2734,63.79
