Model Name,Dataset Size,Translation X, Translation Y,Rotation,Scale,Shear X, Shear Y,Top-1 Accuracy,Top-5 Accuracy
dinov2_base,5000,0,0,0.0,1.0,0,0,0.8376,0.9690
dinov2_base,5000,25,0,0.0,1.0,0,0,0.8352,0.9678
dinov2_base,5000,0,25,0.0,1.0,0,0,0.8346,0.9678
dinov2_base,5000,-25,0,0.0,1.0,0,0,0.8346,0.9682
dinov2_base,5000,0,-25,0.0,1.0,0,0,0.8318,0.9686
dinov2_base,5000,50,0,0.0,1.0,0,0,0.8280,0.9644
dinov2_base,5000,0,50,0.0,1.0,0,0,0.8254,0.9640
dinov2_base,5000,-50,0,0.0,1.0,0,0,0.8266,0.9644
dinov2_base,5000,0,-50,0.0,1.0,0,0,0.8236,0.9632
dinov2_base,5000,0,0,30,1.0,0,0,0.7814,0.9492
dinov2_base,5000,0,0,60,1.0,0,0,0.6848,0.8902
dinov2_base,5000,0,0,90,1.0,0,0,0.7394,0.9200
dinov2_base,5000,0,0,120,1.0,0,0,0.6136,0.8296
dinov2_base,5000,0,0,150,1.0,0,0,0.6086,0.8214
dinov2_base,5000,0,0,180,1.0,0,0,0.7086,0.8990
dinov2_base,5000,0,0,210,1.0,0,0,0.6056,0.8256
dinov2_base,5000,0,0,240,1.0,0,0,0.6168,0.8328
dinov2_base,5000,0,0,270,1.0,0,0,0.7374,0.9202
dinov2_base,5000,0,0,300,1.0,0,0,0.6878,0.8908
dinov2_base,5000,0,0,330,1.0,0,0,0.7858,0.9484
dinov2_base,5000,0,0,0.0,0.5,0,0,0.7426,0.9274
dinov2_base,5000,0,0,0.0,1.5,0,0,0.8056,0.9548
dinov2_base,5000,0,0,0.0,2.0,0,0,0.7486,0.9204
dinov2_base,5000,0,0,0.0,1.0,25,0,0.7962,0.9554
dinov2_base,5000,0,0,0.0,1.0,0,25,0.7908,0.9486
dinov2_base,5000,0,0,0.0,1.0,-25,0,0.7962,0.9544
dinov2_base,5000,0,0,0.0,1.0,0,-25,0.7922,0.9516
dinov2_base,5000,0,0,0.0,1.0,50,0,0.5808,0.8064
dinov2_base,5000,0,0,0.0,1.0,0,50,0.5910,0.8170
dinov2_base,5000,0,0,0.0,1.0,-50,0,0.5750,0.8060
dinov2_base,5000,0,0,0.0,1.0,0,-50,0.5802,0.8080
dinov2_large,5000,0,0,0.0,1.0,0,0,0.8616,0.9762
dinov2_large,5000,25,0,0.0,1.0,0,0,0.8588,0.9750
dinov2_large,5000,0,25,0.0,1.0,0,0,0.8600,0.9760
dinov2_large,5000,-25,0,0.0,1.0,0,0,0.8608,0.9762
dinov2_large,5000,0,-25,0.0,1.0,0,0,0.8578,0.9742
dinov2_large,5000,50,0,0.0,1.0,0,0,0.8542,0.9740
dinov2_large,5000,0,50,0.0,1.0,0,0,0.8512,0.9742
dinov2_large,5000,-50,0,0.0,1.0,0,0,0.8556,0.9752
dinov2_large,5000,0,-50,0.0,1.0,0,0,0.8518,0.9722
dinov2_large,5000,0,0,30,1.0,0,0,0.8336,0.9690
dinov2_large,5000,0,0,60,1.0,0,0,0.7978,0.9516
dinov2_large,5000,0,0,90,1.0,0,0,0.8164,0.9616
dinov2_large,5000,0,0,120,1.0,0,0,0.7480,0.9264
dinov2_large,5000,0,0,150,1.0,0,0,0.7356,0.9118
dinov2_large,5000,0,0,180,1.0,0,0,0.7922,0.9468
dinov2_large,5000,0,0,210,1.0,0,0,0.7328,0.9122
dinov2_large,5000,0,0,240,1.0,0,0,0.7402,0.9222
dinov2_large,5000,0,0,270,1.0,0,0,0.8190,0.9622
dinov2_large,5000,0,0,300,1.0,0,0,0.7984,0.9506
dinov2_large,5000,0,0,330,1.0,0,0,0.8338,0.9676
dinov2_large,5000,0,0,0.0,0.5,0,0,0.8080,0.9578
dinov2_large,5000,0,0,0.0,1.5,0,0,0.8328,0.9664
dinov2_large,5000,0,0,0.0,2.0,0,0,0.7920,0.9420
dinov2_large,5000,0,0,0.0,1.0,25,0,0.8320,0.9698
dinov2_large,5000,0,0,0.0,1.0,0,25,0.8324,0.9680
dinov2_large,5000,0,0,0.0,1.0,-25,0,0.8302,0.9680
dinov2_large,5000,0,0,0.0,1.0,0,-25,0.8344,0.9702
dinov2_large,5000,0,0,0.0,1.0,50,0,0.7048,0.9028
dinov2_large,5000,0,0,0.0,1.0,0,50,0.7118,0.9052
dinov2_large,5000,0,0,0.0,1.0,-50,0,0.7116,0.9074
dinov2_large,5000,0,0,0.0,1.0,0,-50,0.7190,0.9040
